y,1.000,1.000,4.000,10.000,6.000,69.000,0.000,149.000,25.000,180.000,22.000,3.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3615.300,1754.000,55.000,-3.200,21.600,24.794,16.400,27.500,23.970,32.500,9.180,86.000,55.000,82.000,0.000,4.000,0.187,0.407,13080.000,1838.000,526.000,21.863,7.291,7.943
n,0.000,0.000,2.000,4.000,0.000,9.000,0.000,16.000,2.000,83.000,26.000,26.000,0.000,0.000,0.000,0.000,1.000,26.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,388.800,194.000,6.000,4.850,20.600,33.477,13.300,29.600,26.230,14.000,12.560,12.000,4.000,12.000,0.000,0.000,-0.040,0.249,1515.000,285.000,103.000,78.641,32.982,32.982
n,0.000,0.000,0.000,0.000,0.000,47.000,0.000,32.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,617.400,431.000,96.000,83.830,2.700,18.928,7.400,79.500,99.200,2.091,9.830,-1.000,0.000,0.000,0.000,0.000,-0.258,1.000,8704.000,443.000,355.000,71.268,68.397,177.655
n,0.000,0.000,1.000,2.000,0.000,3.000,0.000,4.000,2.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,96.300,60.000,5.000,59.300,8.000,24.133,7.600,10.100,13.270,5.600,11.070,1.000,5.000,1.000,0.000,0.000,0.100,0.600,370.000,60.000,8.000,25.000,10.000,10.000
y,9.000,17.000,6.000,20.000,13.000,359.000,0.000,61.000,69.000,96.000,43.000,36.000,0.000,0.000,0.000,0.000,1.000,8.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.000,6203.700,3403.000,267.000,41.660,10.600,18.493,10.100,14.100,17.680,13.000,8.770,36.000,282.000,33.000,0.000,3.000,0.180,0.514,23802.000,3692.000,464.000,64.655,9.805,9.805
y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.500,11.000,1.000,26.470,12.300,28.218,0.000,17.500,22.660,6.500,12.790,3.000,2.000,3.000,0.000,0.000,0.000,0.000,90.000,13.000,1.000,100.000,7.692,7.692
n,3.000,8.000,5.000,9.000,11.000,72.000,1.000,69.000,66.000,65.000,46.000,18.000,0.000,0.000,0.000,0.000,1.000,13.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1492.200,922.000,52.000,53.510,10.200,22.008,9.500,13.700,14.730,15.250,9.620,30.000,49.000,28.000,0.000,2.000,0.218,0.545,5805.000,966.000,147.000,30.612,6.211,6.211
n,0.000,0.000,2.000,3.000,2.000,47.000,0.000,26.000,51.000,122.000,8.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1048.500,679.000,31.000,57.710,10.700,19.066,10.900,16.100,15.430,15.750,8.000,14.000,28.000,14.000,0.000,0.000,0.279,0.528,4235.000,787.000,191.000,61.257,15.629,15.629
n,5.000,9.000,4.000,9.000,4.000,111.000,0.000,58.000,37.000,106.000,8.000,3.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1688.400,953.000,38.000,29.080,15.400,23.499,11.900,21.100,19.900,30.500,9.400,30.000,34.000,28.000,2.000,0.000,0.180,0.477,6729.000,1049.000,189.000,53.439,10.486,11.630
y,14.000,44.000,8.000,196.000,8.000,380.000,1.000,59.000,400.000,26.000,5.000,4.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,7003.800,4486.000,228.000,51.480,11.000,18.921,9.200,12.400,12.240,12.800,8.180,62.000,214.000,48.000,1.000,13.000,0.210,0.522,26880.000,4562.000,257.000,42.802,3.770,3.770
n,5.000,8.000,2.000,3.000,5.000,92.000,0.000,29.000,55.000,51.000,15.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1784.700,1095.000,48.000,48.330,12.200,22.152,11.000,15.200,14.100,67.000,9.120,29.000,52.000,25.000,0.000,4.000,0.279,0.612,6771.000,1127.000,115.000,33.043,4.259,4.259
y,6.000,15.000,5.000,17.000,10.000,178.000,0.000,111.000,105.000,93.000,32.000,25.000,0.000,0.000,0.000,16.000,2.000,14.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,3277.800,1928.000,96.000,42.610,12.300,22.364,9.900,15.600,16.010,30.500,9.500,101.000,76.000,78.000,4.000,19.000,0.142,0.482,12607.000,2018.000,235.000,44.681,5.798,6.392
n,2.000,3.000,4.000,22.000,1.000,29.000,0.000,53.000,28.000,74.000,20.000,6.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,971.100,520.000,24.000,24.070,15.300,25.526,12.300,18.300,18.330,66.000,10.570,39.000,20.000,37.000,2.000,0.000,0.140,0.274,3588.000,588.000,97.000,62.887,13.605,13.605
n,5.000,6.000,6.000,11.000,33.000,308.000,0.000,54.000,86.000,90.000,8.000,8.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,4401.000,2729.000,131.000,50.360,11.400,20.448,10.400,14.800,14.560,59.000,8.670,64.000,132.000,59.000,2.000,3.000,0.168,0.466,17151.000,2819.000,331.000,37.764,4.895,5.002
